Date,System,Control,Type,Air temperature (K),Process temperature (K),Rotational speed (rpm),Torque (Nm),Tool wear (min),Diagnostic
2014-04-15 11:56:00,0,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,42.8,0.0,No failure
2014-04-12 16:09:00,0,A,L,298.2,308.7,1408.0,39.9,110.52423968684131,No failure
2014-04-13 01:13:00,0,A,L,298.1,308.5,1498.0,39.9,110.52423968684131,No failure
2014-07-24 20:35:00,0,B,L,300.0643584521385,310.03308117544367,1433.0,39.5,110.52423968684131,No failure
2014-07-22 01:31:00,0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,40.0,9.0,No failure
2014-07-26 15:23:00,0,B,M,300.0643584521385,310.03308117544367,1425.0,41.9,110.52423968684131,No failure
2014-07-26 11:03:00,0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,42.4,14.0,No failure
2014-07-22 01:24:00,0,B,L,300.0643584521385,310.03308117544367,1527.0,40.2,110.52423968684131,No failure
2014-10-31 16:33:00,0,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,28.6,18.0,No failure
2014-10-29 10:44:00,0,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,28.0,21.0,No failure
2014-10-30 02:26:00,0,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,23.9,24.0,No failure
2015-01-29 09:46:00,0,B,H,300.0643584521385,310.03308117544367,1423.0,44.3,110.52423968684131,No failure
2015-01-26 23:47:00,0,B,M,300.0643584521385,310.03308117544367,1339.0,51.1,110.52423968684131,No failure
2015-01-27 01:28:00,0,B,M,300.0643584521385,310.03308117544367,1742.0,30.0,110.52423968684131,No failure
2015-01-28 21:16:00,0,B,L,300.0643584521385,310.03308117544367,2035.0,19.6,110.52423968684131,No failure
2015-05-19 01:38:00,0,A,L,298.6,309.2,1542.0,39.9,110.52423968684131,No failure
2015-05-21 11:44:00,0,A,M,298.6,309.2,1311.0,39.9,110.52423968684131,No failure
2015-05-21 14:21:00,0,A,M,298.7,309.2,1410.0,39.9,110.52423968684131,No failure
2015-05-19 02:53:00,0,A,H,298.8,309.2,1306.0,39.9,110.52423968684131,No failure
2015-05-19 07:14:00,0,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,32.5,55.0,No failure
2015-09-07 14:49:00,0,A,H,298.9,309.3,1375.0,39.9,110.52423968684131,No failure
2015-12-17 17:09:00,0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,44.8,63.0,No failure
2015-12-16 19:45:00,0,A,M,298.9,309.3,1581.0,39.9,110.52423968684131,No failure
2016-03-31 14:36:00,0,B,L,300.0643584521385,310.03308117544367,1758.0,25.7,110.52423968684131,No failure
2016-04-02 18:11:00,0,A,M,299.0,309.4,1561.0,39.9,110.52423968684131,No failure
2016-04-03 18:18:00,0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,23.3,73.0,No failure
2016-04-01 19:25:00,0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,39.0,75.0,No failure
2016-06-29 06:11:00,0,B,H,300.0643584521385,310.03308117544367,1811.0,24.6,110.52423968684131,No failure
2016-07-02 06:33:00,0,B,L,300.0643584521385,310.03308117544367,1439.0,44.2,110.52423968684131,No failure
2016-06-30 23:40:00,0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,30.1,84.0,No failure
