System,Control,Type,Air temperature (K),Process temperature (K),Rotational speed (rpm),Torque (Nm),Tool wear (min),Diagnostic,Year,Month,Day,Day_of_Week,Quarter,Temperature_Difference,Power_Index
0,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,42.8,0.0,No failure,2014,4,15,1,2,9.968722723305177,65965.17478664471
0,A,L,298.2,308.7,1408.0,39.9,110.52423968684133,No failure,2014,4,12,5,2,10.5,56179.2
0,A,L,298.1,308.5,1498.0,39.9,110.52423968684133,No failure,2014,4,13,6,2,10.399999999999977,59770.2
0,B,L,300.0643584521385,310.03308117544367,1433.0,39.5,110.52423968684133,No failure,2014,7,24,3,3,9.968722723305177,56603.5
0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,40.0,9.0,No failure,2014,7,22,1,3,9.968722723305177,61649.69606228478
0,B,M,300.0643584521385,310.03308117544367,1425.0,41.9,110.52423968684133,No failure,2014,7,26,5,3,9.968722723305177,59707.5
0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,42.4,14.0,No failure,2014,7,26,5,3,9.968722723305177,65348.677826021856
0,B,L,300.0643584521385,310.03308117544367,1527.0,40.2,110.52423968684133,No failure,2014,7,22,1,3,9.968722723305177,61385.4
0,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,28.6,18.0,No failure,2014,10,31,4,4,9.968722723305177,44079.53268453362
0,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,28.0,21.0,No failure,2014,10,29,2,4,9.968722723305177,43154.78724359934
0,C,H,300.0643584521385,310.03308117544367,1541.2424015571194,23.9,24.0,No failure,2014,10,30,3,4,9.968722723305177,36835.69339721515
0,B,H,300.0643584521385,310.03308117544367,1423.0,44.3,110.52423968684133,No failure,2015,1,29,3,1,9.968722723305177,63038.899999999994
0,B,M,300.0643584521385,310.03308117544367,1339.0,51.1,110.52423968684133,No failure,2015,1,26,0,1,9.968722723305177,68422.90000000001
0,B,M,300.0643584521385,310.03308117544367,1742.0,30.0,110.52423968684133,No failure,2015,1,27,1,1,9.968722723305177,52260.0
0,B,L,300.0643584521385,310.03308117544367,2035.0,19.6,110.52423968684133,No failure,2015,1,28,2,1,9.968722723305177,39886.0
0,A,L,298.6,309.2,1542.0,39.9,110.52423968684133,No failure,2015,5,19,1,2,10.599999999999966,61525.799999999996
0,A,M,298.6,309.2,1311.0,39.9,110.52423968684133,No failure,2015,5,21,3,2,10.599999999999966,52308.9
0,A,M,298.7,309.2,1410.0,39.9,110.52423968684133,No failure,2015,5,21,3,2,10.5,56259.0
0,A,H,298.8,309.2,1306.0,39.9,110.52423968684133,No failure,2015,5,19,1,2,10.399999999999977,52109.4
0,C,M,300.0643584521385,310.03308117544367,1541.2424015571194,32.5,55.0,No failure,2015,5,19,1,2,9.968722723305177,50090.37805060638
0,A,H,298.9,309.3,1375.0,39.9,110.52423968684133,No failure,2015,9,7,0,3,10.400000000000034,54862.5
0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,44.8,63.0,No failure,2015,12,17,3,4,9.968722723305177,69047.65958975894
0,A,M,298.9,309.3,1581.0,39.9,110.52423968684133,No failure,2015,12,16,2,4,10.400000000000034,63081.899999999994
0,B,L,300.0643584521385,310.03308117544367,1758.0,25.7,110.52423968684133,No failure,2016,3,31,3,1,9.968722723305177,45180.6
0,A,M,299.0,309.4,1561.0,39.9,110.52423968684133,No failure,2016,4,2,5,2,10.399999999999977,62283.899999999994
0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,23.3,73.0,No failure,2016,4,3,6,2,9.968722723305177,35910.947956280885
0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,39.0,75.0,No failure,2016,4,1,4,2,9.968722723305177,60108.45366072765
0,B,H,300.0643584521385,310.03308117544367,1811.0,24.6,110.52423968684133,No failure,2016,6,29,2,2,9.968722723305177,44550.600000000006
0,B,L,300.0643584521385,310.03308117544367,1439.0,44.2,110.52423968684133,No failure,2016,7,2,5,3,9.968722723305177,63603.8
0,C,L,300.0643584521385,310.03308117544367,1541.2424015571194,30.1,84.0,No failure,2016,6,30,3,2,9.968722723305177,46391.3962868693
